date,in_value,out_value
2023-09-06,68778.80901641559,23572.029161553288
2023-09-07,72041.60815692399,55825.928651023605
2023-09-08,70619.36380379506,28263.015941003658
2023-09-09,2862.1029043992685,1161.5766668635345
2023-09-10,3425.6257345631316,1321.5182606352912
2023-09-11,46906.241340473134,6791.053985911895
2023-09-16,82959.22905255968,6572.624295372774
2023-09-20,90703.25431453015,48510.75539520517
2023-10-20,94478.26265593788,30169.46386261515
2023-08-17,61067.30041787348,14847.974656165643
2023-02-28,108596.3911553359,11153.817231243844
2023-06-06,1073024.8033075514,388876.14705644746
2023-09-19,9693.851446292563,3341.3243252567954
2023-12-15,141699.9329615291,74660.23050734095
2023-09-25,16533.754962582505,3094.9922208500093
2023-09-29,21817.828776624865,12958.567577609523
2023-10-01,11150.65340110138,1051.703634033415
2024-01-28,20592.518188080543,10017.64384818412
2023-02-09,122819.53841505303,28870.420925753395
2023-02-10,551867.7567956185,33937.43844246357
2023-02-20,121076.72577957275,6336.524932552001
2023-02-24,58933.62244936275,10227.526471430254
2023-03-06,51932.714472772735,17176.163539614226
2023-03-11,559592.2255405715,423438.7995925802
2023-03-15,79646.5695524952,43192.52360942867
2023-03-17,113187.50017065463,23825.250040523984
2023-03-21,46853.10365485047,18215.182704193197
2023-03-22,1552876.2069115888,387713.96230958437
2023-03-24,85021.66436779115,13806.44616633881
2023-03-25,127595.30724708694,1883.6933531545021
2023-04-05,1055928.7717842003,14862.355160966947
2023-04-06,51436.094432803984,8183.960022257936
2023-04-07,59741.21961564629,8365.21211627446
2023-04-17,88213.39138903878,10563.90138729661
2023-04-18,177297.41599384902,54774.19640186624
2023-04-21,48137.319539248994,18381.26269051768
2023-05-02,80711.15714578354,12452.132166285624
2023-05-03,46376.47357108222,6501.36096443
2023-05-04,347632.48195140035,87877.25322975253
2023-05-05,34747.13824497102,11471.97584996
2023-05-08,67587.64105732716,12116.828525519417
2023-05-09,26550.33253114309,9296.598685851455
2023-05-10,40030.33242436858,21467.27236786179
2023-05-11,58483.82266483278,22459.69842535252
2023-05-16,293129.4811095844,100883.80496536603
2023-05-17,55311.67603784999,16066.557444859027
2023-05-19,342341.5856808451,170564.82986417075
2023-05-23,328461.444757944,131710.24793092412
2023-05-24,68103.47607235548,19790.493352624755
2023-05-30,38890.28802111977,23575.40758141977
2023-05-31,966287.620946494,322233.0524868882
2023-06-05,1361309.3140504877,359699.725480308
2023-06-13,39108.2483451959,20031.925211205496
2023-06-22,75367.79693476552,29652.212918517795
2023-06-26,567226.4845045377,98677.01085726295
2023-06-27,49267.28466435816,37528.503347236205
2023-06-29,119318.9827397133,31501.190009748985
2023-07-03,187713.39393072977,133799.97757282958
2023-07-04,22736.912084621734,13373.448342622843
2023-07-05,86956.8854289423,25512.59521072202
2023-07-06,17507.562573570693,6055.850729359523
2023-07-10,8859.96615045981,3018.7421784251446
2023-07-14,151652.16983940057,28405.31796434133
2023-07-17,56512.78444153903,4115.255954517925
2023-07-19,109948.44602151393,35619.68283619017
2023-07-20,36974.24937235788,7659.902909578371
2023-07-24,34967.7695647419,11227.516194910888
2023-07-25,24541.553278178515,13345.000362594474
2023-08-18,111697.46770446235,69340.97156617304
2023-08-25,26620.775463936756,6749.82093290322
2023-08-29,23178.909440564094,13728.579984137747
2023-08-30,23647.227297808087,8359.871591201274
2023-09-28,37139.63016795978,8266.276355678096
2023-10-02,40540.84374012963,21374.875880687447
2023-10-03,6942.312294390105,2070.164744556467
2023-10-10,219024.21231476837,945.8291492770579
2023-10-22,7179.110455697684,355.1740572905558
2023-10-23,138624.85518340606,81431.3239732917
2023-10-24,227988.47448388534,63296.45230902952
2023-10-26,122333.04216475737,8467.04754532246
2023-10-30,209717.31687703004,157572.6300186806
2023-10-31,31237.076468551633,18706.226230717268
2023-11-02,250292.21827975143,70758.54637915167
2023-11-03,174410.39703445806,7087.77652141344
2023-11-06,57517.53614333128,15327.600699248285
2023-11-07,229073.5811897404,171502.36094307897
2023-11-09,125633.41481104634,21201.792197822986
2023-11-13,87445.73859905783,10803.448338462013
2023-11-14,142286.02469729958,47291.752244866846
2023-11-15,243582.68710310926,16613.462470712435
2023-11-17,140177.1029152811,37265.73863082187
2023-11-20,76435.84248568249,15312.829721746792
2023-11-21,109532.99697947563,61759.53170602504
2023-11-24,261423.0708161768,60236.70766184091
2023-11-28,73369.25991993868,35878.35699121306
2023-12-01,84741.37002790635,55412.82828538159
2023-12-04,337059.16562258557,38056.562670637526
2023-12-05,171655.90719117786,72234.82389888784
2023-12-06,96649.22837491815,22200.068217589655
2023-12-07,104156.29829441452,45144.62586430606
2023-12-08,67659.66997362542,17574.200549588117
2023-12-11,96265.51366452877,21450.053633859254
2023-12-13,51078.25157594381,10984.667604634857
2023-12-14,51852.09515123233,8808.516031270523
2023-12-19,301594.77716410166,50958.733914632256
2023-12-21,228447.22903300196,25950.597446220025
2023-12-22,575924.7888537679,72127.43562888863
2023-12-26,881301.6011000293,297994.38184930023
2023-12-29,107086.45837844556,24986.609877284907
2024-01-02,190735.12498616514,16165.373758202993
2024-01-03,169004.90425136604,39894.519213542386
2024-01-05,72074.96096155052,35016.23660902657
2024-01-08,257145.5116730812,65895.62230932423
2024-01-15,34129.30600204875,5219.239598332522
2024-01-16,98526.11687200156,51394.14363672763
2024-01-22,187685.44946055836,23063.439063764494
2024-01-25,175108.9698769561,64332.13748160824
2024-01-30,141645.53547749302,18287.502896301252
2024-01-31,229529.75825509927,151149.93875479017
2024-02-01,157417.95532345568,76267.11395086568
2024-02-08,18834.61957540535,4036.3523463816136
2024-02-09,185576.24617788295,118126.6213006646
2024-02-11,16602.453390319297,11010.474895274043
2024-02-12,32137.910126706363,23626.583950179127
2024-02-13,245231.58860382042,105784.34822348623
2024-02-16,40352.89071449119,20406.513711078816
2024-02-17,19771.862806010027,17526.111576989522
2024-02-19,157427.36789756382,49502.82043719975
2024-02-20,192594.21859791403,129155.46787123042
