Address,Name Tag,Balance,Percentage,Txn Count
0xb909543fe81a472d5bc9af8f66b896aa3159141e,,"20,800.0002 ETH",0.01701081%,7
0x6dc803efb26f5713d6ae5169b818c3b5dc9a64e8,,"20,777.57955606 ETH",0.01699247%,14
0x1d5a591eebb5bcb20f440d121e4f62e8d1689997,,"20,753 ETH",0.01697237%,4
0x0000000000a39bb272e79075ade125fd351887ac,Blur: Bidding,"20,699.48343709 ETH",0.01692860%,"1,993,239"
0xcd4a584d5938a431083183055ac7a066aa3e1985,,"20,644.04924384 ETH",0.01688326%,3
0x184f1960bafd44e8ad8d56ae91ce641678a48602,,"20,594.92191672 ETH",0.01684309%,2
0x6a51d95b6f9e24b4ae71fe4751b12ff87ddb19cd,,"20,443.75197103 ETH",0.01671946%,54
0xab3c66a06a5940b811ad1d98d8b6ea5456657993,,"20,398.093028 ETH",0.01668211%,8
0x7ffbafdc1e4f0a4b97130b075fb4a25f807a1807,,"20,338.3806296 ETH",0.01663328%,"1,556"
0x8b34b14c7c7123459cf3076b8cb929be097d0c07,Mode: Optimism Portal Proxy,"20,294.47595405 ETH",0.01659737%,"17,833"
0xd9a442856c234a39a81a089c06451ebaa4306a72,Puffer Finance: pufETH Token,"20,226.86295638 ETH",0.01654208%,"150,935"
0xf8092d0679cc835b3d51d46163e649f2de5c680d,,"20,199.682 ETH",0.01651985%,6
0x14bbf6493b7923284e4957fa4de9f3c2b1bab120,,"20,182.74315246 ETH",0.01650600%,1
0xc3ecba28af450e2ed469164766751130d93ecc36,,"20,159.16345462 ETH",0.01648671%,929
0x237b5ad89d6513630b71bbf783c1edcc84fb6aab,,"20,047.33555854 ETH",0.01639526%,109
0x253f1e742a2cec86b0d7b306e5eacb6ccb2f8554,,"20,040.00026863 ETH",0.01638926%,2
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io 3,"20,027.27095028 ETH",0.01637885%,"38,129"
0x914b432dad9c29c081f93d84790919335bcbd33f,,"20,012.28217151 ETH",0.01636659%,23
0xd64a2d50f8858537188a24e0f50df1681ab07ed7,,"20,002.03317747 ETH",0.01635821%,27
0x3c8fdb4b682a6149f5c90821d9ce94940d567a7f,,"20,001.03192067 ETH",0.01635739%,35
0x41d02938752a066fe5b69fb3f4f3efbc33aa223c,,"20,000.95684911 ETH",0.01635733%,1
0xf770ef2e23bae5de5f7dd0cfe56fe68c8c3cfa48,,"20,000.95621541 ETH",0.01635733%,4
0xe928828e62123b59656ab371bcadd7771d301261,,"20,000.94359619 ETH",0.01635731%,5
0xddd5c28028db9b0474c87649f3b265f7a0af3651,,"20,000.93057855 ETH",0.01635730%,3
0x24cc59bc6d1e5145b073a5e5aac1486d1548a7fb,,"20,000.70849129 ETH",0.01635712%,4
0x6a7b2e0d88867ff15d207c222bebf94fa6ce8397,,"20,000.402518 ETH",0.01635687%,25
0x3b7f0c36d59a8c9c5e4ef2210d18651b17f82d86,,"20,000.3732875 ETH",0.01635685%,15
